date,open,high,low,close,volume
2015-09-04,245.77,254.95,236.97,241.93,22668096.0
2015-08-28,202.79,251.45,195.0,248.48,32041553.0
2015-08-21,255.56,260.95,230.51,230.77,26471998.0
2015-08-14,238.15,247.93,232.74,243.15,21243948.0
2015-08-07,266.29,271.0,236.12,242.51,29401206.0
2015-07-31,262.43,269.3599,250.79,266.15,15637207.0
2015-07-24,275.0,286.65,260.86,265.41,19255837.0
2015-07-17,262.25,275.54,256.05,274.66,13509641.0
2015-07-10,278.88,281.69,254.31,259.15,22393071.0
2015-07-02,261.95,282.45,260.7,280.02,15830998.0
2015-06-26,262.15,271.41,255.69,267.09,17531828.0
2015-06-19,249.7,264.36,246.01,262.51,14929489.0
2015-06-12,250.85,258.75,248.5,250.69,14548989.0
2015-06-05,251.41,251.6,245.68,249.14,11897012.0
2015-05-29,247.68,252.8677,245.05,250.8,14343448.0
2015-05-22,247.0,251.0,241.3721,247.73,14976744.0
2015-05-15,236.29,249.4,235.31,248.84,24899355.0
2015-05-08,228.18,239.5,220.25,236.61,29626547.0
2015-05-01,222.56,238.75,220.405,226.03,30887629.0
2015-04-24,206.78,221.88,203.85,218.425,20693856.0
2015-04-17,210.435,213.0,203.5,206.79,12865556.0
2015-04-10,198.0,211.65,197.5,210.9,30974693.0
2015-04-02,185.85,193.76,181.8,191.0,23921074.0
2015-03-27,198.5,203.79,181.4,185.0,24744778.0
2015-03-20,192.0,204.59,189.8,198.08,28088482.0
2015-03-13,194.39,196.18,187.32,188.68,26874878.0
2015-03-06,202.7,206.19,192.151,193.88,28165809.0
2015-02-27,215.66,218.2,201.7,203.34,29367794.0
2015-02-20,205.7,217.6,201.5,217.11,17829482.0
2015-02-13,215.38,220.5,193.28,203.77,40472677.0
2015-02-06,203.97,225.48,203.3,217.36,19047685.0
2015-01-30,201.83,208.62,196.5,203.6,15720217.0
2015-01-23,193.87,203.5,187.04,201.29,16215501.0
2015-01-16,203.05,207.61,185.0,193.07,30799137.0
2015-01-09,214.55,216.5,204.21,206.66,22622034.0
2015-01-02,226.9,227.91,213.26,219.31,12881610.0
2014-12-26,220.0,228.5,218.26,227.82,13980772.0
2014-12-19,209.29,220.4,192.65,219.29,35406001.0
2014-12-12,221.54,224.86,204.27,207.0,39839440.0
2014-12-05,241.16,242.47,222.26,223.71,29756957.0
2014-11-28,245.2,249.72,240.64,244.52,12051019.0
2014-11-21,257.49,259.99,242.17,242.78,27490754.0
2014-11-14,239.11,258.85,236.8,258.68,30737772.0
2014-11-07,243.0,247.56,228.5,240.2,37451505.0
2014-10-31,234.25,244.6,220.31,241.7,32040983.0
2014-10-24,226.72,237.8,225.51,235.24,18720237.0
2014-10-17,238.57,238.9628,217.32,227.48,43496954.0
2014-10-10,259.13,265.54,235.2,236.91,37532830.0
2014-10-03,244.0,256.5,235.65,255.21,29459990.0
2014-09-26,255.0,256.02,244.71,246.6,26239129.0
2014-09-19,274.37,274.4,249.13,259.32,40436700.0
2014-09-12,277.62,285.49,273.66,279.2,20932400.0
2014-09-05,275.5,291.42,272.51,277.39,36062000.0
2014-08-29,258.19,272.0,258.19,269.7,20403100.0
2014-08-22,263.25,267.26,251.62,256.78,19936100.0
2014-08-15,255.48,265.64,254.5801,262.01,29354100.0
2014-08-08,234.38,256.688,233.27,248.13,33121300.0
2014-08-01,224.25,237.5,221.04,233.27,34388400.0
2014-07-25,217.25,226.97,216.72,223.57,15968100.0
2014-07-18,219.99,228.79,213.6,220.0201,25869300.0
2014-07-11,227.5,229.78,214.27,218.13,26011500.0
2014-07-03,239.55,244.49,224.0,229.25,22358800.0
2014-06-27,229.51,241.88,228.22,239.06,32425000.0
2014-06-20,206.76,235.54,206.26,229.59,47077000.0
2014-06-13,207.95,209.99,199.251,206.42,19835900.0
2014-06-06,207.33,210.81,200.396,208.171,19071700.0
2014-05-30,208.52,214.8,205.26,207.77,20109800.0
2014-05-23,190.72,207.76,190.0,207.3,25624500.0
2014-05-16,183.87,193.48,179.88,191.56,30034300.0
2014-05-09,209.48,218.6596,177.22,182.26,49514800.0
2014-05-02,200.0,214.02,190.5,210.91,26788400.0
2014-04-25,197.08,219.33,194.0,199.85,34850400.0
2014-04-17,207.6,208.44,184.32,198.12,34491300.0
2014-04-11,205.81,218.45,198.6,203.78,38181400.0
2014-04-04,216.5,235.73,206.39,212.225,48803000.0
2014-03-28,229.75,229.9,203.0,212.37,45282000.0
2014-03-21,234.95,241.55,227.5,228.89,29261000.0
2014-03-14,242.7,247.5,228.32,230.97,40818600.0
2014-03-07,237.26,260.0,234.99,246.21,42944000.0
2014-02-28,208.7599,265.0,208.32,244.81,98100300.0
2014-02-21,205.244,215.21,193.41,209.6,51322900.0
2014-02-14,189.34,202.72,189.32,198.23,43041600.0
2014-02-07,182.89,186.63,169.36,186.53,33489300.0
2014-01-31,175.16,186.0,164.71,181.41,35819100.0
2014-01-24,171.24,182.38,170.81,174.6,32289000.0
2014-01-17,145.78,173.2,136.671,170.01,75554300.0
2014-01-10,150.0,153.7,142.25,145.7199,29386500.0
2014-01-03,151.12,154.81,146.55,149.56,19613300.0
2013-12-27,144.85,158.0,142.601,151.12,27916700.0
2013-12-20,148.48,154.9,139.1,143.24,48904800.0
2013-12-13,137.0,151.8,134.21,147.654,48307200.0
2013-12-06,126.35,144.94,123.931,137.36,63779300.0
2013-11-29,124.5,130.59,116.1,127.28,46236600.0
2013-11-22,135.27,135.45,117.93,121.38,79804500.0
2013-11-15,141.0,145.42,134.111,135.45,63745000.0
2013-11-08,165.0,181.43,132.32,137.95,111421800.0
2013-11-01,170.18,170.5,153.0,162.17,46869600.0
2013-10-25,183.28,183.39,160.15,169.66,54660400.0
2013-10-18,175.0,188.789,174.15,183.4,39589300.0
2013-10-11,182.46,186.73,161.5,178.7,57754300.0
2013-10-04,189.0,194.5,168.0,180.98,75686500.0
2013-09-27,184.48,191.28,177.11,190.9,35230300.0
2013-09-20,168.0,185.83,163.361,183.39,47507800.0
2013-09-13,163.12,167.895,158.51,165.54,40706000.0
2013-09-06,173.4,173.7,165.15,166.97,38841800.0
2013-08-30,165.15,173.0,160.25,169.0,76942500.0
2013-08-23,143.4269,162.3,142.83,161.839,44246500.0
2013-08-16,149.43,150.5,135.0,142.0,52642200.0
2013-08-09,140.01,158.88,132.36,153.0,73841900.0
2013-08-02,129.32,138.25,128.18,138.0,40751100.0
2013-07-26,119.89,130.68,119.56,129.39,39320600.0
2013-07-19,133.03,133.259,104.5,119.68,85611700.0
2013-07-12,121.37,129.94,118.82,129.9,40845200.0
2013-07-05,109.36,121.89,109.15,120.09,34593100.0
2013-06-28,96.5,110.25,95.3,107.36,34064600.0
2013-06-21,103.6,107.13,97.5,99.55,46265500.0
2013-06-14,98.93,102.52,94.05,100.3,38341600.0
2013-06-07,97.62,102.9,88.25,102.04,60443000.0
2013-05-31,101.55,114.9,97.73,97.76,76097100.0
2013-05-24,91.12,97.95,83.05,97.08,54061000.0
2013-05-17,80.99,97.12,78.11,91.5,117075700.0
2013-05-10,56.39,81.0,55.12,76.764,74815200.0
2013-05-03,51.76,58.18,51.2,54.55,18334200.0
2013-04-26,48.6,53.74,47.75,51.2,16721200.0
2013-04-19,43.5,49.88,42.51,47.83,13359900.0
2013-04-12,41.97,45.139,40.33,43.75,12093000.0
2013-04-05,42.36,46.68,40.2105,41.37,30211700.0
2013-03-28,37.1,38.52,36.77,37.89,6642000.0
2013-03-22,35.3,37.06,34.92,36.62,5424100.0
2013-03-15,38.87,39.49,35.21,35.29,8977200.0
2013-03-08,34.77,39.44,34.7,38.47,7065100.0
2013-03-01,36.15,36.75,33.8,34.65,11123000.0
2013-02-22,37.36,39.65,34.54,36.11,17408500.0
2013-02-15,37.98,39.15,36.95,37.04,9502700.0
2013-02-08,38.4,40.0,37.59,39.24,6667800.0
2013-02-01,36.86,38.71,36.86,38.3,6382700.0
2013-01-25,34.56,37.72,34.26,36.98,6742700.0
2013-01-18,33.08,34.85,32.85,34.52,8919300.0
2013-01-11,34.8,34.8,32.11,32.91,4909700.0
2013-01-04,33.0,35.45,33.0,34.4,3205700.0
2012-12-28,33.64,34.5,33.0,33.22,1952400.0
2012-12-21,33.77,35.26,33.58,34.0,6091200.0
2012-12-14,34.43,35.8,32.75,33.81,7740500.0
2012-12-07,33.89,35.0,33.5,34.17,5335300.0
2012-11-30,32.1,34.29,31.52,33.82,5455500.0
2012-11-23,32.07,33.47,31.7,32.13,3708400.0
2012-11-16,30.29,32.12,30.16,31.8399,4318200.0
2012-11-09,29.8,32.05,29.33,30.32,8224400.0
2012-11-02,27.7,29.55,27.37,28.9182,2829600.0
2012-10-26,27.99,28.56,27.02,27.38,3290700.0
2012-10-19,28.0,28.99,26.86,27.74,4384400.0
2012-10-12,28.86,29.4,27.5,27.64,4024500.0
2012-10-05,29.5,30.1,28.65,28.89,5146100.0
2012-09-28,29.51,31.03,27.48,29.28,14611500.0
2012-09-21,32.35,32.78,29.54,30.02,8832200.0
2012-09-14,29.2,30.65,27.295,30.39,6664700.0
2012-09-07,28.52,29.57,27.81,29.35,3186700.0
2012-08-31,29.57,29.7,28.0,28.52,4788200.0
2012-08-24,30.15,30.85,29.0,29.5,5616600.0
2012-08-17,29.69,31.3,28.81,30.01,3366100.0
2012-08-10,27.55,30.9,27.55,29.94,6604300.0
2012-08-03,29.51,30.248,25.52,27.27,7747200.0
2012-07-27,31.05,31.3,27.64,29.51,9664600.0
2012-07-20,34.32,36.0,31.06,31.79,10199600.0
2012-07-13,30.94,34.4,30.67,34.25,4738000.0
2012-07-06,31.35,31.7995,30.19,30.99,4300900.0
2012-06-29,33.94,34.12,30.62,31.29,7199500.0
2012-06-22,29.94,34.5,29.5,33.785,10528800.0
2012-06-15,30.31,31.0,28.62,29.91,3568100.0
2012-06-08,28.03,30.19,27.11,30.08,3944900.0
2012-06-01,30.01,31.93,27.76,28.15,4961700.0
